method,Hit@1,Hit@3,Hit@5,MRR
CLAP,57.04057279,82.81622912,90.69212411,71.86898225
iKnow-05-Direct,58.47255370,83.53221957,91.16945107,72.49746276
RawTriple,53.93794749,83.29355609,90.21479714,69.58643120
Qwen-General,53.22195704,84.48687351,90.69212411,69.74089951
AAKV,59.42720764,83.53221957,90.69212411,72.91910158
