method,Hit@1,Hit@3,Hit@5,MRR
CLAP,28.78198805,46.31230778,54.65096037,41.11992418
iKnow-1st,29.58277723,47.15371671,54.88307317,41.74163600
Ours1-Direct,29.88452388,47.31619567,54.87146753,41.99413003
Ours1-RawTriple,28.74136830,46.60825161,54.78442523,41.19643502
Ours1-Template,30.04700284,47.57151976,54.84825625,42.18382752
Ours1-Oracle,35.61771021,50.85011315,56.20611617,46.22884135
