dataset,method,batch_size,n_profiled,repeats,end_to_end_ms_per_sample_mean,end_to_end_ms_per_sample_std,knowledge_stage_ms_per_sample_mean,knowledge_stage_ms_per_sample_std,throughput_samples_per_s_mean,throughput_samples_per_s_std,peak_gpu_mib_mean,peak_gpu_mib_std,offline_cache_mib_mean,offline_cache_mib_std,minimum_top1_agreement_vs_first_repeat
AudioSet,CLAP,1,200,5,31.32680954784155,4.587741083069684,0.2967067731078714,0.06199215486919244,32.42941102575206,4.346774774308307,694.98681640625,0.0,2.05859375,0.0,1.0
AudioSet,iKnow_dagger,1,200,5,32.29550311458297,1.7422265475320189,1.566235309932381,0.09902529928133544,31.03558403987738,1.6592741505324349,712.98681640625,0.0,19.11838722229004,0.0,1.0
AudioSet,SAKI,1,200,5,83.88092818879522,2.299870493151389,52.360709541942924,1.978995832268669,11.928673475091784,0.31976153445040306,846.98681640625,0.0,154.57154369354248,0.0,1.0
AudioSet,CLAP,32,200,5,16.691031753318384,1.590517837430327,0.15663479291833937,0.001190300081686094,60.349846427655486,5.752289217506693,1681.31640625,0.0,2.05859375,0.0,1.0
AudioSet,iKnow_dagger,32,200,5,18.031368186464533,1.4604880287979973,1.3021179584320635,0.0078396104830628,55.75930212042859,4.645451804380684,1699.31640625,0.0,19.11838722229004,0.0,1.0
AudioSet,SAKI,32,200,5,69.48783615999855,1.1831520144517342,51.79510012548417,0.07158129910822027,14.394353584252523,0.24563020243097672,1833.31640625,0.0,154.57154369354248,0.0,1.0
