dataset,method,batch_size,n_profiled,repeats,end_to_end_ms_per_sample_mean,end_to_end_ms_per_sample_std,knowledge_stage_ms_per_sample_mean,knowledge_stage_ms_per_sample_std,throughput_samples_per_s_mean,throughput_samples_per_s_std,peak_gpu_mib_mean,peak_gpu_mib_std,offline_cache_mib_mean,offline_cache_mib_std,minimum_top1_agreement_vs_first_repeat
TUT2017,CLAP,1,200,5,29.10944614256732,2.276400177569381,0.2543712668120861,0.0008508798954304305,34.5059872430334,2.44373593859367,693.04345703125,0.0,0.05859375,0.0,1.0
TUT2017,iKnow_dagger,1,200,5,29.425411100499332,0.11107803996881911,1.5988004195969552,0.003911347908614491,33.98461806067044,0.12781052524894698,695.04345703125,0.0,1.0991706848144531,0.0,1.0
TUT2017,SAKI,1,200,5,92.16496556485072,0.13071463833255612,64.30321639915928,0.09492641613657991,10.850127304666362,0.015390489323331057,699.23095703125,0.0,6.292492866516113,0.0,1.0
TUT2017,CLAP,32,200,5,16.837995431153104,0.10845257525761741,0.16453973553143442,0.0010838899419989669,59.39146226919153,0.38231707110806784,1679.25390625,0.0,0.05859375,0.0,1.0
TUT2017,iKnow_dagger,32,200,5,18.09846551786177,0.24335242232049112,1.475744561292231,0.002637646571101439,55.26124289776152,0.7381343380271536,1680.990234375,0.0,1.0991706848144531,0.0,1.0
TUT2017,SAKI,32,200,5,80.19700785540044,0.09092422899837406,63.713651162572205,0.07508165063264895,12.469305962330697,0.014135569149021797,1686.36328125,0.0,6.292492866516113,0.0,1.0
