dataset,feature,target,AUROC,AUPRC,prevalence
02_UrbanSound8K,top1_score_change_abs,fixed_M1_P5_benefit,0.7791315365123244,0.051183940066699254,0.0057260650480989465
02_UrbanSound8K,top1_score_change_abs,fixed_M1_P5_harm,0.6870559665742362,0.06574631073213463,0.010192395785616124
02_UrbanSound8K,neg_evidence_support,any_M_P5_benefit,0.7983547658540466,0.04846969783891819,0.015231333027943198
02_UrbanSound8K,neg_evidence_support,fixed_M1_P5_benefit,0.769649850264916,0.018828367793460588,0.0057260650480989465
02_UrbanSound8K,neg_evidence_support,fixed_M1_P5_harm,0.827112152849549,0.040139749079061,0.010192395785616124
02_UrbanSound8K,evidence_variance,any_M_P5_benefit,0.6649286899071145,0.05745565861875604,0.015231333027943198
02_UrbanSound8K,evidence_variance,fixed_M1_P5_benefit,0.6139990785533287,0.024749119095695223,0.0057260650480989465
02_UrbanSound8K,evidence_variance,fixed_M1_P5_harm,0.5464043773814492,0.013458406104512268,0.010192395785616124
03_FSD50K,neg_base_margin,any_M_P5_benefit,0.6734951042003096,0.02409057877796469,0.014954549897370736
03_FSD50K,neg_base_margin,fixed_M1_P5_benefit,0.6512095704945109,0.011084572820568139,0.007623888182973317
03_FSD50K,neg_base_margin,fixed_M1_P5_harm,0.6663212357727901,0.01980306285575789,0.011631316586843906
03_FSD50K,neg_first_margin,any_M_P5_benefit,0.7227870972428132,0.06942109704073147,0.014954549897370736
03_FSD50K,neg_first_margin,fixed_M1_P5_benefit,0.7425757702030724,0.07404407005276284,0.007623888182973317
03_FSD50K,neg_first_margin,fixed_M1_P5_harm,0.6810208854111264,0.030908394979090488,0.011631316586843906
03_FSD50K,base_entropy,any_M_P5_benefit,0.6868705145615831,0.03350862752206668,0.014954549897370736
03_FSD50K,base_entropy,fixed_M1_P5_benefit,0.666945730326012,0.01216715051456239,0.007623888182973317
03_FSD50K,base_entropy,fixed_M1_P5_harm,0.6803199127752367,0.027760646786402235,0.011631316586843906
03_FSD50K,first_entropy,any_M_P5_benefit,0.7311577538338216,0.04784199467555293,0.014954549897370736
03_FSD50K,first_entropy,fixed_M1_P5_benefit,0.7415883141776966,0.03406760579565963,0.007623888182973317
03_FSD50K,first_entropy,fixed_M1_P5_harm,0.7019357980533986,0.035844207703787295,0.011631316586843906
03_FSD50K,top1_conflict,any_M_P5_benefit,0.6189924471475432,0.021246299706118563,0.014954549897370736
03_FSD50K,top1_conflict,fixed_M1_P5_benefit,0.583916083916084,0.009610599524736054,0.007623888182973317
03_FSD50K,top1_conflict,fixed_M1_P5_harm,0.5845833388735241,0.014678350238574365,0.011631316586843906
03_FSD50K,js_divergence,any_M_P5_benefit,0.6585074328732617,0.02111606240132598,0.014954549897370736
03_FSD50K,js_divergence,fixed_M1_P5_benefit,0.615831622332164,0.009320639946912629,0.007623888182973317
03_FSD50K,js_divergence,fixed_M1_P5_harm,0.6861686921604084,0.02049197930699188,0.011631316586843906
03_FSD50K,distribution_l1_change,any_M_P5_benefit,0.6665778172087782,0.021631766561810335,0.014954549897370736
03_FSD50K,distribution_l1_change,fixed_M1_P5_benefit,0.6290435819146546,0.009668731763294594,0.007623888182973317
03_FSD50K,distribution_l1_change,fixed_M1_P5_harm,0.684793339804276,0.020182741638165212,0.011631316586843906
03_FSD50K,top1_score_change_abs,any_M_P5_benefit,0.5426590891698347,0.01779270078189749,0.014954549897370736
03_FSD50K,top1_score_change_abs,fixed_M1_P5_benefit,0.47803541709283853,0.006960767640154259,0.007623888182973317
03_FSD50K,top1_score_change_abs,fixed_M1_P5_harm,0.5153906499308585,0.012316961858239042,0.011631316586843906
03_FSD50K,neg_evidence_support,any_M_P5_benefit,0.6291683042205438,0.019996932518342683,0.014954549897370736
03_FSD50K,neg_evidence_support,fixed_M1_P5_benefit,0.6305575969714647,0.010349136800887731,0.007623888182973317
03_FSD50K,neg_evidence_support,fixed_M1_P5_harm,0.6853210429741516,0.018766549310400615,0.011631316586843906
03_FSD50K,evidence_variance,any_M_P5_benefit,0.485077830828038,0.014804408069977043,0.014954549897370736
03_FSD50K,evidence_variance,fixed_M1_P5_benefit,0.40757815676558906,0.006016093566647342,0.007623888182973317
03_FSD50K,evidence_variance,fixed_M1_P5_harm,0.525771028348048,0.013600011437167303,0.011631316586843906
04_DCASE17_T4,neg_base_margin,any_M_P5_benefit,0.6666666666666666,0.06466360569000379,0.028639618138424822
04_DCASE17_T4,neg_base_margin,fixed_M1_P5_benefit,0.8077294685990339,0.08014003605154835,0.011933174224343675
04_DCASE17_T4,neg_base_margin,fixed_M1_P5_harm,0.654673721340388,0.05930153043591385,0.03341288782816229
04_DCASE17_T4,neg_first_margin,any_M_P5_benefit,0.6435298935298935,0.05454724287715662,0.028639618138424822
04_DCASE17_T4,neg_first_margin,fixed_M1_P5_benefit,0.5545893719806764,0.015097611117967601,0.011933174224343675
04_DCASE17_T4,neg_first_margin,fixed_M1_P5_harm,0.709700176366843,0.09637587093155597,0.03341288782816229
04_DCASE17_T4,base_entropy,any_M_P5_benefit,0.7086404586404587,0.10621666226580143,0.028639618138424822
04_DCASE17_T4,base_entropy,fixed_M1_P5_benefit,0.8855072463768116,0.1499283288734488,0.011933174224343675
04_DCASE17_T4,base_entropy,fixed_M1_P5_harm,0.6948853615520283,0.1002344132110276,0.03341288782816229
04_DCASE17_T4,first_entropy,any_M_P5_benefit,0.6957411957411958,0.09697926826682851,0.028639618138424822
04_DCASE17_T4,first_entropy,fixed_M1_P5_benefit,0.6318840579710145,0.02301663785805101,0.011933174224343675
04_DCASE17_T4,first_entropy,fixed_M1_P5_harm,0.7347442680776014,0.1082031360223385,0.03341288782816229
04_DCASE17_T4,top1_conflict,any_M_P5_benefit,0.5278460278460279,0.030489090154961283,0.028639618138424822
04_DCASE17_T4,top1_conflict,fixed_M1_P5_benefit,0.5611111111111111,0.013997511372213042,0.011933174224343675
04_DCASE17_T4,top1_conflict,fixed_M1_P5_harm,0.6880952380952382,0.06138372367489313,0.03341288782816229
04_DCASE17_T4,js_divergence,any_M_P5_benefit,0.664004914004914,0.05581032688005142,0.028639618138424822
04_DCASE17_T4,js_divergence,fixed_M1_P5_benefit,0.7057971014492754,0.02589620177930728,0.011933174224343675
04_DCASE17_T4,js_divergence,fixed_M1_P5_harm,0.698589065255732,0.17027761719326334,0.03341288782816229
04_DCASE17_T4,distribution_l1_change,any_M_P5_benefit,0.664004914004914,0.05828249829828731,0.028639618138424822
04_DCASE17_T4,distribution_l1_change,fixed_M1_P5_benefit,0.7048309178743961,0.02608715706352281,0.011933174224343675
04_DCASE17_T4,distribution_l1_change,fixed_M1_P5_harm,0.7112874779541446,0.17354434049907005,0.03341288782816229
04_DCASE17_T4,top1_score_change_abs,any_M_P5_benefit,0.47041359541359534,0.033236395309465025,0.028639618138424822
