held_out_dataset,AUROC,AUPRC,benefit_prevalence,trigger_budget,any_benefit_recall,fixed_benefit_covered,fixed_harm_triggered
01_ESC50,0.9814814814814815,0.03809523809523809,0.001,0.1,1.0,1,2
01_ESC50,0.9814814814814815,0.03809523809523809,0.001,0.2,1.0,1,4
01_ESC50,0.9814814814814815,0.03809523809523809,0.001,0.3,1.0,1,4
01_ESC50,0.9814814814814815,0.03809523809523809,0.001,0.5,1.0,1,4
02_UrbanSound8K,0.792788460277336,0.05040047844246183,0.015231333027943198,0.1,0.37593984962406013,15,35
02_UrbanSound8K,0.792788460277336,0.05040047844246183,0.015231333027943198,0.2,0.6015037593984962,30,58
02_UrbanSound8K,0.792788460277336,0.05040047844246183,0.015231333027943198,0.3,0.7293233082706767,38,73
02_UrbanSound8K,0.792788460277336,0.05040047844246183,0.015231333027943198,0.5,0.9323308270676691,44,83
03_FSD50K,0.6956374267640509,0.02609163460786766,0.014954549897370736,0.1,0.19607843137254902,7,27
03_FSD50K,0.6956374267640509,0.02609163460786766,0.014954549897370736,0.2,0.37254901960784315,20,50
03_FSD50K,0.6956374267640509,0.02609163460786766,0.014954549897370736,0.3,0.5032679738562091,31,66
03_FSD50K,0.6956374267640509,0.02609163460786766,0.014954549897370736,0.5,0.8235294117647058,62,94
04_DCASE17_T4,0.6998361998361998,0.06559492249154103,0.028639618138424822,0.1,0.25,2,4
04_DCASE17_T4,0.6998361998361998,0.06559492249154103,0.028639618138424822,0.2,0.5,2,8
04_DCASE17_T4,0.6998361998361998,0.06559492249154103,0.028639618138424822,0.3,0.5833333333333334,3,9
04_DCASE17_T4,0.6998361998361998,0.06559492249154103,0.028639618138424822,0.5,0.75,4,12
05_AudioSet,0.5906889930692255,0.03403357354085368,0.02675100098647943,0.1,0.12147505422993492,29,47
05_AudioSet,0.5906889930692255,0.03403357354085368,0.02675100098647943,0.2,0.279826464208243,61,100
05_AudioSet,0.5906889930692255,0.03403357354085368,0.02675100098647943,0.3,0.4121475054229935,90,144
05_AudioSet,0.5906889930692255,0.03403357354085368,0.02675100098647943,0.5,0.6117136659436009,140,241
06_TUT2017,0.681014916609266,0.09780756759417913,0.00405982905982906,0.1,0.3684210526315789,3,13
06_TUT2017,0.681014916609266,0.09780756759417913,0.00405982905982906,0.2,0.42105263157894735,3,23
06_TUT2017,0.681014916609266,0.09780756759417913,0.00405982905982906,0.3,0.5789473684210527,3,28
06_TUT2017,0.681014916609266,0.09780756759417913,0.00405982905982906,0.5,0.7368421052631579,4,36
