dataset,feature,trigger_budget,trigger_n,fixed_rescue_covered,fixed_rescue_recall,fixed_harm_triggered,harm_per_trigger,any_M_rescue_recall
04_DCASE17_T4,neg_first_margin,0.2,84,0,0.0,5,0.05952380952380952,0.25
04_DCASE17_T4,neg_first_margin,0.3,126,1,0.2,8,0.06349206349206349,0.5
04_DCASE17_T4,neg_first_margin,0.5,210,4,0.8,11,0.05238095238095238,0.75
04_DCASE17_T4,base_entropy,0.1,42,4,0.8,5,0.11904761904761904,0.4166666666666667
04_DCASE17_T4,base_entropy,0.2,84,4,0.8,8,0.09523809523809523,0.4166666666666667
04_DCASE17_T4,base_entropy,0.3,126,4,0.8,8,0.06349206349206349,0.5833333333333334
04_DCASE17_T4,base_entropy,0.5,210,5,1.0,10,0.047619047619047616,0.75
04_DCASE17_T4,first_entropy,0.1,42,1,0.2,4,0.09523809523809523,0.4166666666666667
04_DCASE17_T4,first_entropy,0.2,84,1,0.2,8,0.09523809523809523,0.4166666666666667
04_DCASE17_T4,first_entropy,0.3,126,1,0.2,8,0.06349206349206349,0.5
04_DCASE17_T4,first_entropy,0.5,210,4,0.8,11,0.05238095238095238,0.75
04_DCASE17_T4,top1_conflict,0.1,42,0,0.0,4,0.09523809523809523,0.08333333333333333
04_DCASE17_T4,top1_conflict,0.2,84,1,0.2,7,0.08333333333333333,0.25
04_DCASE17_T4,top1_conflict,0.3,126,2,0.4,9,0.07142857142857142,0.3333333333333333
04_DCASE17_T4,top1_conflict,0.5,210,2,0.4,11,0.05238095238095238,0.4166666666666667
04_DCASE17_T4,js_divergence,0.1,42,1,0.2,3,0.07142857142857142,0.16666666666666666
04_DCASE17_T4,js_divergence,0.2,84,1,0.2,3,0.03571428571428571,0.16666666666666666
04_DCASE17_T4,js_divergence,0.3,126,3,0.6,9,0.07142857142857142,0.5833333333333334
04_DCASE17_T4,js_divergence,0.5,210,4,0.8,12,0.05714285714285714,0.75
04_DCASE17_T4,distribution_l1_change,0.1,42,1,0.2,3,0.07142857142857142,0.16666666666666666
04_DCASE17_T4,distribution_l1_change,0.2,84,1,0.2,4,0.047619047619047616,0.25
04_DCASE17_T4,distribution_l1_change,0.3,126,3,0.6,10,0.07936507936507936,0.5833333333333334
