method,Hit@1,Hit@3,Hit@5,MRR,delta_Hit@1_vs_iKnow,delta_MRR_vs_iKnow
CLAP,83.76087952,96.59871736,98.64864865,90.40346036,-1.12230875,-0.67453046
I_iKnow,84.88318827,96.77049931,98.64864865,91.07799082,0.00000000,0.00000000
T_AAKV,84.51672011,96.14063216,98.64864865,90.59070269,-0.36646816,-0.48728814
F_Fusion,85.02061383,96.86211635,98.64864865,91.18296868,0.13742556,0.10497786
S_Selector,85.83371507,96.35822263,98.64864865,91.44216856,0.95052680,0.36417774
TF,85.77645442,96.56436097,98.64864865,91.46736325,0.89326615,0.38937242
TS,86.95602382,96.09482364,98.64864865,91.86494303,2.07283555,0.78695221
FS,85.73064590,96.59871736,98.64864865,91.40170437,0.84745763,0.32371354
TFS_Final,87.17361429,96.89647274,98.64864865,92.21766864,2.29042602,1.13967781
