method,Hit@1,Hit@3,Hit@5,MRR
CLAP,91.10000000,96.75000000,97.65000000,94.10549431
iKnow-1st,91.75000000,97.05000000,97.65000000,94.57216098
Ours1-Direct,93.45000000,97.10000000,97.65000000,95.46216098
Ours1-RawTriple,93.60000000,97.05000000,97.65000000,95.53049431
Ours1-Template,94.15000000,97.10000000,97.65000000,95.85632764
Ours1-Oracle,95.25000000,97.40000000,97.65000000,96.50299431
