method,Hit@1,Hit@3,Hit@5,MRR
CLAP,39.44444444,75.32051282,91.92307692,59.94330509
Manual-Template,48.26923077,80.57692308,91.88034188,66.34910994
Qwen-AudioAware,45.66239316,79.05982906,91.90170940,64.32257860
