method,Hit@1,Hit@3,Hit@5,MRR
CLAP,40.491452991452995,75.02136752136752,91.66666666666666,60.25079852483699
JointRaw-All,49.08119658119658,77.45726495726495,91.66666666666666,65.90179567583414
JointNorm-All,49.401709401709404,78.80341880341881,91.68803418803418,66.33219860623707
JointNorm-Top5,49.14529914529914,78.33333333333333,91.66666666666666,66.12900365304212
TwoStage-a0.3,50.811965811965806,80.66239316239316,91.55982905982906,67.47259678830191
TwoStage-a0.5,50.598290598290596,80.0,91.64529914529915,67.38368415772261
TwoStage-a0.7,46.55982905982906,78.78205128205128,91.68803418803418,64.95984410888256
TwoStage-Dynamic,49.636752136752136,79.65811965811966,91.68803418803418,66.83982986386833
