batch_size,method,datasets,samples_per_dataset,repeats,online_latency_ms_per_sample,relative_overhead_x,throughput_samples_per_s,peak_gpu_memory_mib,offline_cache_mib
1,CLAP,5,200,5,24.372063820809124,1.0,41.03058351366163,693.6001953125,0.6265625
1,iKnow_dagger,5,200,5,25.16155202849768,1.0323931618386164,39.743176369542375,700.3001953125,6.744767761230468
1,SAKI,5,200,5,86.52019619070924,3.5499741354212846,11.557995058122424,743.2158203125,50.523992729187015
32,CLAP,5,200,5,10.559335588756948,1.0,94.70292819036361,1679.8396484375,0.6265625
32,iKnow_dagger,5,200,5,11.839192378846928,1.1212061856858406,84.46522093742635,1686.6154296875,6.744767761230468
32,SAKI,5,200,5,72.10892344322056,6.828926198727744,13.867909160887862,1729.8419921875,50.523992729187015
