effect,Hit@1_pp,Hit@3_pp,Hit@5_pp,MRR_pp
T only - iKnow,4.539682540000001,-0.23809524000000692,-0.4126984100000044,2.158578989999995
F only - iKnow,2.7142857200000066,0.8888888899999898,-0.03174603000000786,1.8168098200000031
S only - iKnow,2.4126984200000052,0.9365079399999985,-0.15873016000000462,1.3482237399999946
TF interaction,-0.11111111000000307,0.7619047600000073,-0.2380952399999927,-0.026295840000003068
TS interaction,2.444444439999998,-1.0317460299999937,0.14285714000000382,1.2524565300000035
FS interaction,-1.3968254100000053,-1.0158730199999866,0.14285714000000382,-1.2731401300000016
TFS three-way interaction,2.126984130000004,0.3492063499999887,-0.3333333300000021,1.4055040200000093
