method,Hit@1,Hit@3,Hit@5,MRR
AAKV-FrozenRq,51.28571429,81.30158730,92.00000000,67.99201649
AAKV-Frequency5,50.53968254,80.58730159,92.00000000,67.40254142
AAKV-Random5-s42,52.20634921,81.38095238,92.01587302,68.62763057
AAKV-Random5-s43,52.15873016,81.34920635,91.95238095,68.56327500
AAKV-Random5-s44,51.93650794,81.49206349,91.92063492,68.43539701
AAKV-Selector5,56.87301587,80.53968254,91.79365079,70.72506065
