method,Hit@1,Hit@3,Hit@5,MRR
D-1st,86.05130554283097,96.89647274393037,98.64864864864865,91.67560114594012
Flat-HalfEdge,85.97114063215759,96.7475950526798,98.64864864864865,91.59925361196547
FullPath-Chained,86.18873110398533,96.91937700412277,98.64864864864865,91.74908564739073
FullPath-TwoSentence,86.12001832340816,96.93082913421897,98.64864864864865,91.71625620778163
Endpoint,86.3948694457169,96.98808978469995,98.64864864864865,91.88402991369092
