method,Hit@1,Hit@3,Hit@5,MRR
CLAP,56.80190931,83.05489260,90.69212411,71.60522983
iKnow-1st,59.18854415,84.48687351,90.69212411,72.96561169
Ours-1st,59.42720764,85.68019093,90.69212411,73.14460930
2nd-Full,59.42720764,85.68019093,90.69212411,73.44691638
