dataset,physical_gpu_id,gpu_name,method,batch_size,repeat,n_samples,end_to_end_ms_per_sample,knowledge_stage_ms_per_sample,throughput_samples_per_s,incremental_peak_gpu_mib,static_cache_mib,top1_agreement_vs_first_repeat,top1_sha256,full_ranking_sha256_audit
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,CLAP,32,1,200,29.53153807844501,0.4749709344469011,33.8621035363511,1022.0,6.53125,1.0,254d42b9c7b10936fbdc274f20db1311b54127ef5a3c0eb7db84c623fdbbf5a7,4b07a53ec4b448dc29130244011c36cfc235576560d7dd0fbab1766ea5385135
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,32,1,200,30.357812260626815,3.7204165454022586,32.940450102755605,1022.0,6.53125,1.0,bdcb4abd364d35227036329f688cac96976b235430d61d4ce05413c78e6a27c9,24b8052acec6100ee685f3ab8a0a85b5cc72543c90a7d3424125fb760e39bd73
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,Final-TFS,32,1,200,240.4689473414328,205.15047895314638,4.158541096701928,1022.0,6.53125,1.0,7a5e3efe1e83d9b2d1fc40ffc9e28a589942abde5a9cac1302de87541b1587f5,914e840f0ea91cb41e620adccc8ce1416545cdd8357803e72753bb94045f2354
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,32,2,200,36.720857340842485,3.9114204997895285,27.23247964278214,1022.0,6.53125,1.0,bdcb4abd364d35227036329f688cac96976b235430d61d4ce05413c78e6a27c9,24b8052acec6100ee685f3ab8a0a85b5cc72543c90a7d3424125fb760e39bd73
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,Final-TFS,32,2,200,170.69658484018873,142.18477196991444,5.858348021058711,1022.0,6.53125,1.0,7a5e3efe1e83d9b2d1fc40ffc9e28a589942abde5a9cac1302de87541b1587f5,914e840f0ea91cb41e620adccc8ce1416545cdd8357803e72753bb94045f2354
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,CLAP,32,2,200,28.95601933414582,0.44925014954060316,34.53513373023513,1022.0,6.53125,1.0,254d42b9c7b10936fbdc274f20db1311b54127ef5a3c0eb7db84c623fdbbf5a7,4b07a53ec4b448dc29130244011c36cfc235576560d7dd0fbab1766ea5385135
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,Final-TFS,32,3,200,159.03065479069483,131.52862485556398,6.288095847408356,1022.0,6.53125,1.0,7a5e3efe1e83d9b2d1fc40ffc9e28a589942abde5a9cac1302de87541b1587f5,914e840f0ea91cb41e620adccc8ce1416545cdd8357803e72753bb94045f2354
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,CLAP,32,3,200,22.679601109120995,0.3174220188520849,44.09248624738081,1022.0,6.53125,1.0,254d42b9c7b10936fbdc274f20db1311b54127ef5a3c0eb7db84c623fdbbf5a7,4b07a53ec4b448dc29130244011c36cfc235576560d7dd0fbab1766ea5385135
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,32,3,200,26.741859245230444,4.274800595012493,37.394557754182905,1022.0,6.53125,1.0,bdcb4abd364d35227036329f688cac96976b235430d61d4ce05413c78e6a27c9,24b8052acec6100ee685f3ab8a0a85b5cc72543c90a7d3424125fb760e39bd73
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,CLAP,32,4,200,24.638018975383602,0.4386878857621923,40.58767878209374,1022.0,6.53125,1.0,254d42b9c7b10936fbdc274f20db1311b54127ef5a3c0eb7db84c623fdbbf5a7,4b07a53ec4b448dc29130244011c36cfc235576560d7dd0fbab1766ea5385135
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,32,4,200,28.316099036019295,4.509532180381939,35.31559904236657,1022.0,6.53125,1.0,bdcb4abd364d35227036329f688cac96976b235430d61d4ce05413c78e6a27c9,24b8052acec6100ee685f3ab8a0a85b5cc72543c90a7d3424125fb760e39bd73
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,Final-TFS,32,4,200,178.4620601957431,154.5557206007652,5.603431894169365,1022.0,6.53125,1.0,7a5e3efe1e83d9b2d1fc40ffc9e28a589942abde5a9cac1302de87541b1587f5,914e840f0ea91cb41e620adccc8ce1416545cdd8357803e72753bb94045f2354
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,32,5,200,31.417918265797198,4.41828073002398,31.828970702003513,1022.0,6.53125,1.0,bdcb4abd364d35227036329f688cac96976b235430d61d4ce05413c78e6a27c9,24b8052acec6100ee685f3ab8a0a85b5cc72543c90a7d3424125fb760e39bd73
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,Final-TFS,32,5,200,239.2644076619763,209.87902297871187,4.179476629105497,1022.0,6.53125,1.0,7a5e3efe1e83d9b2d1fc40ffc9e28a589942abde5a9cac1302de87541b1587f5,914e840f0ea91cb41e620adccc8ce1416545cdd8357803e72753bb94045f2354
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,CLAP,32,5,200,31.178942130645737,0.4649993753992021,32.07292908815856,1022.0,6.53125,1.0,254d42b9c7b10936fbdc274f20db1311b54127ef5a3c0eb7db84c623fdbbf5a7,4b07a53ec4b448dc29130244011c36cfc235576560d7dd0fbab1766ea5385135
