dataset,method,batch_size,n_profiled,repeats,end_to_end_ms_per_sample_mean,end_to_end_ms_per_sample_std,knowledge_stage_ms_per_sample_mean,knowledge_stage_ms_per_sample_std,throughput_samples_per_s_mean,throughput_samples_per_s_std,incremental_peak_gpu_mib_mean,incremental_peak_gpu_mib_std,static_cache_mib_mean,static_cache_mib_std,minimum_top1_agreement_vs_first_repeat
02_UrbanSound8K,CLAP,1,200,5,41.79742085351609,6.426779187713471,0.461669824202545,0.04848117112210158,24.478228146662588,4.519440064225921,36.25,0.0,6.53125,0.0,1.0
02_UrbanSound8K,Frozen-iKnow,1,200,5,43.753592752618715,9.10745645031742,3.9975512909004465,2.0426712637674855,23.579552289784843,4.434863754292449,36.25,0.0,6.53125,0.0,1.0
02_UrbanSound8K,Final-TFS,1,200,5,181.02121724979952,11.041387887452741,140.82367267971858,15.42779657608405,5.540759597293125,0.33931275274635797,36.25,0.0,6.53125,0.0,1.0
02_UrbanSound8K,CLAP,32,200,5,27.396823925548233,3.576160958590027,0.4290660728001967,0.0639586381558072,37.03006627684387,5.083509319910661,1022.0,0.0,6.53125,0.0,1.0
02_UrbanSound8K,Frozen-iKnow,32,200,5,30.710909229703248,3.815510751796268,4.16689011012204,0.3379529814312185,32.94241144881814,3.8502175734519333,1022.0,0.0,6.53125,0.0,1.0
02_UrbanSound8K,Final-TFS,32,200,5,197.58453096600715,39.2151666852823,168.65972387162037,36.43202686477212,5.217578697688771,0.9880146162824273,1022.0,0.0,6.53125,0.0,1.0
