dataset,n,comparison,alpha,Nr,delta_Hit@1_pp,Hit@1_CI95_low,Hit@1_CI95_high,wrong_to_correct,correct_to_wrong,net_rescued,McNemar_exact_p,delta_MRR_pp,MRR_CI95_low,MRR_CI95_high,McNemar_Holm_p_5,McNemar_significant_Holm_0.05,Hit@1_CI_excludes_zero,MRR_CI_excludes_zero
ESC-50,2000,Final-TFS - frozen-iKnow,0.3,5,2.5,1.55,3.45,72,22,50,2.2605981543610277e-07,1.1824999999999999,0.6691666666666666,1.7091666666666667,2.2605981543610277e-07,True,True,True
UrbanSound8K,8732,Final-TFS - frozen-iKnow,0.3,5,2.2904260192395784,1.7636280348144753,2.8172240036646814,382,182,200,2.470608033893281e-17,1.1396778134066272,0.8474528553977706,1.4313301649106733,7.411824101679844e-17,True,True,True
FSD50K,10231,Final-TFS - frozen-iKnow,0.3,5,4.662300850356759,3.9292346789170174,5.405141237415697,994,517,477,4.881854075164527e-35,2.339594004055694,1.905029697907527,2.7753040248529732,1.9527416300658108e-34,True,True,True
AudioSet,17233,Final-TFS - frozen-iKnow,0.3,5,2.0890152614170487,1.5957755469158013,2.5824000464225594,1148,788,360,2.7822358075563715e-16,1.0317253056859998,0.7253168307434059,1.3421689619598445,5.564471615112743e-16,True,True,True
TUT2017,4680,Final-TFS - frozen-iKnow,0.3,5,12.67094017094017,11.303418803418804,14.038461538461538,877,284,593,8.445776067152415e-71,6.706043956043957,5.904676689051689,7.5036203958078955,4.222888033576207e-70,True,True,True
