method,Hit@1,Hit@3,Hit@5,MRR
CLAP,28.41060756,46.46318111,54.58712934,40.97669505
iKnow-05-Direct,29.13596008,46.78813904,54.63355191,41.40987727
RawTriple,27.37770556,45.85388499,54.44786166,40.16268988
Qwen-General,28.21331167,46.54442059,54.76701677,40.84552697
AAKV,28.36418499,46.83456160,54.63355191,41.02061626
