method,Hit@1,Hit@3,Hit@5,MRR,delta_Hit@1_vs_iKnow,delta_MRR_vs_iKnow
CLAP,40.49145299,75.02136752,91.66666667,60.25079852,-3.20512821,-3.46003765
I_Frozen-iKnow-05b,43.69658120,79.55128205,92.11538462,63.71083617,0.00000000,0.00000000
T_AAKV-only,49.40170940,78.80341880,91.68803419,66.33219861,5.70512821,2.62136243
F_Fusion-only,46.30341880,79.59401709,91.98717949,65.22090943,2.60683761,1.51007326
S_Selector-only,46.43162393,78.69658120,92.05128205,64.66344606,2.73504274,0.95260989
TF_AAKV+Fusion,50.79059829,80.04273504,91.64529915,67.49087789,7.09401709,3.78004172
TS_AAKV+Selector,52.88461538,78.01282051,91.55982906,68.01773992,9.18803419,4.30690374
FS_Fusion+Selector,44.93589744,78.05555556,92.26495726,63.72213737,1.23931624,0.01130120
TFS_AAKV+Fusion+Selector,53.16239316,78.22649573,91.28205128,68.27593928,9.46581197,4.56510311
