method,Hit@1,Hit@3,Hit@5,MRR
CLAP,57.41374255,79.60121200,86.11083961,70.15995430
iKnow-1st,59.08513342,80.52976249,86.45293715,71.34868754
Ours-1st,60.82494380,80.81321474,86.53113088,72.41553929
2nd-Full,60.71742743,80.69592415,86.25745284,72.28205915
