dataset,unique_triples,accepted_first_n,accepted_first_pct,accepted_repair_n,accepted_repair_pct,fallback_n,fallback_pct,head_preserved_pct,tail_preserved_pct,exact_audio_prefix_pct,unique_text_pct,duplicate_text_n,mean_words,median_words,max_words
ESC-50,487,441,90.55441478439425,42,8.624229979466119,4,0.8213552361396304,100.0,99.38398357289527,100.0,100.0,0,9.234086242299794,9.0,22
UrbanSound8K,151,129,85.43046357615894,13,8.609271523178808,9,5.960264900662252,100.0,99.33774834437085,100.0,100.0,0,9.62251655629139,9.0,15
FSD50K,958,903,94.258872651357,45,4.697286012526096,10,1.0438413361169103,100.0,100.0,100.0,99.89561586638831,1,8.545929018789144,8.0,25
DCASE17-T4,175,131,74.85714285714286,12,6.857142857142857,32,18.285714285714285,100.0,99.42857142857143,100.0,100.0,0,10.554285714285715,10.0,24
AudioSet,2179,2046,93.89628269848555,101,4.63515374024782,32,1.4685635612666361,100.0,99.86232216613125,100.0,100.0,0,9.786140431390546,10.0,26
TUT2017,133,87,65.41353383458646,14,10.526315789473685,32,24.06015037593985,100.0,100.0,100.0,100.0,0,9.977443609022556,9.0,24
