dataset,contrast,effect_Hit@1_pp,Hit@1_CI95_low,Hit@1_CI95_high,effect_MRR_pp,MRR_CI95_low,MRR_CI95_high,CI_supports_positive_effect_Hit@1,CI_supports_positive_effect_MRR
ESC-50,AAKV_main_effect_alone_T_minus_I,-3.1,-4.35,-1.8499999999999999,-1.9375,-2.670833333333334,-1.2241458333333337,False,False
ESC-50,AAKV_added_to_Selector_TS_minus_S,-1.0,-1.8499999999999999,-0.2,-0.7333333333333334,-1.2358333333333333,-0.24164583333333364,False,False
ESC-50,AAKV_added_to_FusionSelector_TFS_minus_FS,0.35000000000000003,-0.3,1.0,0.1266666666666667,-0.24583333333333338,0.5008541666666663,False,False
ESC-50,AAKV_x_Selector_interaction_TS-T-S+I,2.1,0.8999999999999999,3.3000000000000003,1.2041666666666668,0.545,1.8700208333333332,True,True
ESC-50,three_way_interaction,-1.6,-2.75,-0.44999999999999996,-1.0191666666666666,-1.6566666666666667,-0.38331250000000033,False,False
UrbanSound8K,AAKV_main_effect_alone_T_minus_I,-0.3664681630783326,-0.9737173614292256,0.26339899221255153,-0.4872881355932204,-0.8297068254695373,-0.13912429378531108,False,False
UrbanSound8K,AAKV_added_to_Selector_TS_minus_S,1.1223087494273936,0.5497022446174988,1.694915254237288,0.42277446938463875,0.08817663001985031,0.7705470300809282,True,True
UrbanSound8K,AAKV_added_to_FusionSelector_TFS_minus_FS,1.4429683921209346,0.973431058176821,1.9125057260650482,0.8159642693540999,0.5434035730645901,1.0856667048404336,True,True
UrbanSound8K,AAKV_x_Selector_interaction_TS-T-S+I,1.488776912505726,0.847457627118644,2.130096197892808,0.9100626049778592,0.5565687509543442,1.2618386394869443,True,True
UrbanSound8K,three_way_interaction,-0.8016491067338525,-1.4773247824095281,-0.1488776912505726,-0.3784928996793404,-0.7434388837990533,-0.023472094976332347,False,False
FSD50K,AAKV_main_effect_alone_T_minus_I,1.7593588114553809,0.9383246994428697,2.5706187078486953,0.8434541784036871,0.3662543429730617,1.3149309839940477,True,True
FSD50K,AAKV_added_to_Selector_TS_minus_S,4.095396344443358,3.333007526146027,4.848010947121494,2.043798621588517,1.5785894013214619,2.495114176950919,True,True
FSD50K,AAKV_added_to_FusionSelector_TFS_minus_FS,3.899912032059427,3.1961685074772745,4.613429772260776,2.3236018386517827,1.8885061996464223,2.764982393583853,True,True
FSD50K,AAKV_x_Selector_interaction_TS-T-S+I,2.3360375329879774,1.4759065584986806,3.2059427230964714,1.2003444431848305,0.7125820489986543,1.694796519325878,True,True
FSD50K,three_way_interaction,-0.3127748998142899,-1.0556152868732285,0.45938813410223833,0.1407361470016793,-0.28132727144657704,0.5693608728352946,False,False
AudioSet,AAKV_main_effect_alone_T_minus_I,-0.5628735565484826,-1.120089363430627,0.0,-0.38002633902433935,-0.724882482346427,-0.03818243344172589,False,False
AudioSet,AAKV_added_to_Selector_TS_minus_S,1.259211977020832,0.7659722625195845,1.7524516915220798,0.6225882965235645,0.30182401020819505,0.9388326596247851,True,True
AudioSet,AAKV_added_to_FusionSelector_TFS_minus_FS,1.2766204375326409,0.800789183543202,1.7582545116926827,0.7908999431391012,0.4786559845127986,1.1100805595699483,True,True
AudioSet,AAKV_x_Selector_interaction_TS-T-S+I,1.822085533569315,1.2474612661753612,2.408170370800209,1.0026146355479035,0.6607756276440847,1.3506584491252898,True,True
AudioSet,three_way_interaction,-0.6557186792781291,-1.1547612139499797,-0.14492543376080985,-0.21167135422706174,-0.5076384997641558,0.08723944608274757,False,False
TUT2017,AAKV_main_effect_alone_T_minus_I,5.705128205128205,4.316239316239316,7.094017094017094,2.6213624338624344,1.7702152014652013,3.451046118233617,True,True
TUT2017,AAKV_added_to_Selector_TS_minus_S,6.474358974358975,5.064102564102564,7.905982905982905,2.9957010582010586,2.075331323768824,3.90634857041107,True,True
TUT2017,AAKV_added_to_FusionSelector_TFS_minus_FS,9.038461538461538,7.6923076923076925,10.384615384615385,4.880799755799756,4.047761497761498,5.716048534798535,True,True
TUT2017,AAKV_x_Selector_interaction_TS-T-S+I,0.7692307692307693,-0.7905982905982906,2.286324786324786,0.37433862433862436,-0.5509392806267805,1.2809809981684976,False,False
TUT2017,three_way_interaction,3.3333333333333335,1.7521367521367521,4.8931623931623935,2.081982831982832,1.162400485317152,2.9912467355175685,True,True
