method,Hit@1,Hit@3,Hit@5,MRR,delta_Hit@1_vs_iKnow,delta_MRR_vs_iKnow
CLAP,91.10000000,96.75000000,97.65000000,94.10549431,-0.65000000,-0.46666667
I_Frozen-iKnow-05b,91.75000000,97.05000000,97.65000000,94.57216098,0.00000000,0.00000000
T_AAKV-only,88.65000000,95.90000000,97.65000000,92.63466098,-3.10000000,-1.93750000
F_Fusion-only,93.55000000,97.05000000,97.65000000,95.49966098,1.80000000,0.92750000
S_Selector-only,93.85000000,96.95000000,97.60000000,95.63132764,2.10000000,1.05916667
TF_AAKV+Fusion,93.80000000,97.15000000,97.65000000,95.70799431,2.05000000,1.13583333
TS_AAKV+Selector,92.85000000,96.55000000,97.70000000,94.95799431,1.10000000,0.38583333
FS_Fusion+Selector,93.95000000,97.00000000,97.55000000,95.69674431,2.20000000,1.12458333
TFS_AAKV+Fusion+Selector,94.25000000,97.10000000,97.70000000,95.90549431,2.50000000,1.33333333
