method,Hit@1,Hit@3,Hit@5,MRR
CLAP,83.63490609,96.53000458,98.63719652,90.31754666
iKnow-05-Direct,84.65414567,96.67888227,98.63719652,90.95791160
RawTriple,84.32203390,96.82775996,98.63719652,90.63801544
Qwen-General,80.89784700,96.30096198,98.63719652,88.79842161
AAKV,84.31058177,96.20934494,98.63719652,90.50879724
