method,Hit@1,Hit@3,Hit@5,MRR
D-1st,49.636752136752136,79.65811965811966,91.68803418803418,66.83982986386833
Flat-HalfEdge,49.358974358974365,79.52991452991452,91.68803418803418,66.654288553327
FullPath-Chained,49.55128205128205,79.59401709401709,91.68803418803418,66.75115465019312
FullPath-TwoSentence,49.44444444444444,79.57264957264957,91.68803418803418,66.70806348210193
Endpoint,49.55128205128205,79.63675213675214,91.66666666666666,66.76326291230139
