method,Hit@1,Hit@3,Hit@5,MRR
CLAP,57.34532303782621,79.65008308083277,86.3454207799824,70.16715547600259
JointRaw-All,61.09862183559769,80.30495552731894,86.3454207799824,72.28034089287287
JointNorm-All,61.59710683217672,80.62750464275243,86.46271136741277,72.64522942802824
JointNorm-Top5,61.47981624474635,80.55908513341804,86.46271136741277,72.56361472760796
TwoStage-a0.3,62.68204476590754,81.21395757990422,86.58000195484313,73.44002900935897
TwoStage-a0.5,62.97527123448343,81.5267324797185,86.51158244550875,73.66798825891924
TwoStage-a0.7,61.831688007037435,81.43876453914574,86.46271136741277,73.09272947845079
TwoStage-Dynamic,62.7700127064803,81.46808718600333,86.50180822988955,73.5634196664218
