method,Hit@1,Hit@3,Hit@5,MRR
All-Direct,61.09785203,85.44152745,90.21479714,74.28934431
All-RawTriple,57.51789976,85.20286396,90.93078759,72.23058763
All-Template,64.43914081,86.63484487,90.69212411,76.31542682
Entropy-Router,63.72315036,85.44152745,90.69212411,75.78269582
Margin-Router,63.24582339,85.68019093,90.69212411,75.56392096
Oracle,69.21241050,88.54415274,90.93078759,79.74877151
