method,Hit@1,Hit@3,Hit@5,MRR
CLAP,58.711217183770884,84.00954653937947,90.69212410501193,73.01464446452513
JointRaw-All,60.14319809069213,81.38424821002387,90.69212410501193,72.7282482831409
JointNorm-All,60.14319809069213,83.05489260143199,90.69212410501193,73.22546387582187
JointNorm-Top5,60.14319809069213,83.05489260143199,90.69212410501193,73.15784255521726
TwoStage-a0.3,62.29116945107399,85.20286396181385,90.69212410501193,74.82053149714247
TwoStage-a0.5,63.961813842482094,85.91885441527445,90.69212410501193,75.80700723302155
TwoStage-a0.7,63.0071599045346,85.44152744630071,90.69212410501193,75.42514565784255
TwoStage-Dynamic,63.24582338902148,85.44152744630071,90.69212410501193,75.35752433723795
