method,Hit@1,Hit@3,Hit@5,MRR
CLAP,28.51505832,45.94673011,54.41884756,40.91860648
Manual-Template,29.75105901,47.46706900,54.61614345,41.92162185
Qwen-Constrained,30.02959438,47.47287182,54.59293217,42.07557214
Qwen-Verified,29.77427030,47.29878721,54.57552370,41.91124909
