method,Hit@1,Hit@3,Hit@5,MRR,delta_Hit@1_vs_iKnow,delta_MRR_vs_iKnow
CLAP,58.71121718,84.00954654,90.69212411,73.01464446,-2.86396181,-1.11774065
I_Frozen-iKnow-05b,61.57517900,84.72553699,91.64677804,74.13238512,0.00000000,0.00000000
T_AAKV-only,60.14319809,83.05489260,90.69212411,73.22546388,-1.43198091,-0.90692124
F_Fusion-only,62.05250597,85.20286396,91.16945107,74.64551161,0.47732697,0.51312649
S_Selector-only,63.48448687,84.72553699,91.40811456,75.62005417,1.90930788,1.48766905
TF_AAKV+Fusion,63.24582339,85.68019093,90.69212411,75.38934614,1.67064439,1.25696102
TS_AAKV+Selector,63.24582339,83.53221957,91.16945107,74.84439785,1.67064439,0.71201273
FS_Fusion+Selector,60.14319809,82.81622912,91.40811456,73.20424934,-1.43198091,-0.92813577
TFS_AAKV+Fusion+Selector,62.76849642,84.48687351,91.88544153,74.55800166,1.19331742,0.42561655
