method,Hit@1,Hit@3,Hit@5,MRR
CLAP,57.38441990,79.64030887,86.08151696,70.12905735
iKnow-1st,59.48587626,80.55908513,86.37474343,71.54394099
Ours1-Direct,60.80539537,80.89140846,86.42361450,72.40759056
Ours1-RawTriple,59.48587626,80.60795621,86.27700127,71.58939067
Ours1-Template,62.41814094,81.24328023,86.28677549,73.30195237
Ours1-Oracle,68.03831493,83.51089825,87.06871274,77.05774714
