method,Hit@1,Hit@3,Hit@5,MRR
D-1st,93.7,97.15,97.65,95.6604943101847
Flat-HalfEdge,93.60000000000001,97.1,97.65,95.5979943101847
FullPath-Chained,93.75,97.15,97.65,95.68549431018471
FullPath-TwoSentence,93.65,97.15,97.65,95.63549431018471
Endpoint,93.60000000000001,97.1,97.65,95.5979943101847
