method,Hit@1,Hit@3,Hit@5,MRR
CLAP,39.82905983,75.32051282,91.45299145,60.12144023
iKnow-1st,43.16239316,80.38461538,92.13675214,63.59702868
Ours1-Direct,45.42735043,80.19230769,91.88034188,64.91145346
Ours1-RawTriple,46.70940171,79.05982906,91.58119658,65.07641581
Ours1-Template,48.50427350,80.34188034,91.45299145,66.50676786
Ours1-Oracle,54.76495726,84.95726496,92.24358974,71.19546343
