dataset,n_samples,candidate_relations,retained_relations_per_sample,unique_relations_ever_selected,unique_unordered_relation_sets,dominant_set_share_percent,top1_relation_entropy,normalized_top1_relation_entropy,mean_fraction_selected_outside_frozen_iKnow_set,mean_Jaccard_with_frozen_iKnow_set,fraction_samples_exactly_equal_frozen_set
ESC-50,2000,47,10,47,1708,1.4,3.6113032576224016,0.9379648863379749,0.9292,0.04049404761904762,0.0
UrbanSound8K,8732,47,15,47,5461,1.5345854328905177,3.3897561727171803,0.8804223950301558,0.8614063215758131,0.07389905038210123,0.0
FSD50K,10231,47,9,47,9066,1.5052292053562701,3.7598987716385537,0.9765596440948341,0.9232137620955919,0.05686545559480756,0.0
AudioSet,17233,47,9,47,15671,1.5029304241861545,3.734135841852126,0.9698682305565622,0.9116114431613764,0.05767153550911457,0.0
TUT2017,4680,47,12,47,3334,1.0256410256410255,3.616775134605249,0.9393860986001793,0.8909829059829059,0.06324616741283408,0.0
