method,Hit@1,Hit@3,Hit@5,MRR
CLAP,39.40170940,74.55128205,91.62393162,59.68924286
iKnow-05-Direct,43.63247863,79.80769231,92.00854701,63.85836848
RawTriple,47.90598291,79.05982906,92.00854701,65.68920894
Qwen-General,41.06837607,75.29914530,91.49572650,60.84980452
AAKV,48.97435897,79.05982906,91.64529915,66.24551066
