dataset,physical_gpu_id,gpu_name,method,batch_size,repeat,n_samples,end_to_end_ms_per_sample,knowledge_stage_ms_per_sample,throughput_samples_per_s,incremental_peak_gpu_mib,static_cache_mib,top1_agreement_vs_first_repeat,top1_sha256,full_ranking_sha256_audit
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,CLAP,32,1,200,13.284129568492062,0.21984782884828746,75.27779632410754,1022.0,68.84375,1.0,1914aca275c91df357a5285de957e1f92e20f615cc9dfddc5eae4612699ea63c,55fd600ee70e4aa41ac3216daf990ad2d4777f3fcc92d83c6d0bf9b9b36061a7
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,32,1,200,14.89028345909901,2.0907006337074563,67.15788874985653,1022.0,68.84375,1.0,2ffd0df320cbc9b817d845d993ed63f1bc65d68c8d306f5091309d7d3a3b65fc,4915e0f58a1ff43a3d76e0a4f9562f51b54578a2b35c71eddacd4c6bf4bc3c42
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,Final-TFS,32,1,200,132.6116384647321,118.1520050909603,7.540816263015624,1022.0,68.84375,1.0,d07e2c9ecfbff5085f32e857c8282e6875f2b345b4caed18e68d490c125d79ba,4dddd88672e6263f2a7dc66eeedac1ffef06e94332e764a0f3763844e97928e5
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,32,2,200,15.057783400407061,2.0942555251531303,66.41083706735792,1022.0,68.84375,1.0,2ffd0df320cbc9b817d845d993ed63f1bc65d68c8d306f5091309d7d3a3b65fc,4915e0f58a1ff43a3d76e0a4f9562f51b54578a2b35c71eddacd4c6bf4bc3c42
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,Final-TFS,32,2,200,131.8443947355263,117.29815748520195,7.584698629061579,1022.0,68.84375,1.0,d07e2c9ecfbff5085f32e857c8282e6875f2b345b4caed18e68d490c125d79ba,4dddd88672e6263f2a7dc66eeedac1ffef06e94332e764a0f3763844e97928e5
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,CLAP,32,2,200,14.125692970701493,0.3059591358760372,70.79298708205883,1022.0,68.84375,1.0,1914aca275c91df357a5285de957e1f92e20f615cc9dfddc5eae4612699ea63c,55fd600ee70e4aa41ac3216daf990ad2d4777f3fcc92d83c6d0bf9b9b36061a7
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,Final-TFS,32,3,200,109.50910708983429,94.22459261026233,9.131660613209673,1022.0,68.84375,1.0,d07e2c9ecfbff5085f32e857c8282e6875f2b345b4caed18e68d490c125d79ba,4dddd88672e6263f2a7dc66eeedac1ffef06e94332e764a0f3763844e97928e5
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,CLAP,32,3,200,14.100437629967928,0.19975035509560257,70.91978463666128,1022.0,68.84375,1.0,1914aca275c91df357a5285de957e1f92e20f615cc9dfddc5eae4612699ea63c,55fd600ee70e4aa41ac3216daf990ad2d4777f3fcc92d83c6d0bf9b9b36061a7
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,32,3,200,14.25882934476249,1.9739493844099343,70.13198459853348,1022.0,68.84375,1.0,2ffd0df320cbc9b817d845d993ed63f1bc65d68c8d306f5091309d7d3a3b65fc,4915e0f58a1ff43a3d76e0a4f9562f51b54578a2b35c71eddacd4c6bf4bc3c42
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,CLAP,32,4,200,11.831614032853395,0.19184882345143706,84.51932231927557,1022.0,68.84375,1.0,1914aca275c91df357a5285de957e1f92e20f615cc9dfddc5eae4612699ea63c,55fd600ee70e4aa41ac3216daf990ad2d4777f3fcc92d83c6d0bf9b9b36061a7
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,32,4,200,13.824677799129859,1.8149816495133564,72.33441636252392,1022.0,68.84375,1.0,2ffd0df320cbc9b817d845d993ed63f1bc65d68c8d306f5091309d7d3a3b65fc,4915e0f58a1ff43a3d76e0a4f9562f51b54578a2b35c71eddacd4c6bf4bc3c42
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,Final-TFS,32,4,200,88.09312435390893,75.51077470881864,11.3516237201732,1022.0,68.84375,1.0,d07e2c9ecfbff5085f32e857c8282e6875f2b345b4caed18e68d490c125d79ba,4dddd88672e6263f2a7dc66eeedac1ffef06e94332e764a0f3763844e97928e5
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,32,5,200,16.046944954432547,2.3773784952936694,62.31715774184022,1022.0,68.84375,1.0,2ffd0df320cbc9b817d845d993ed63f1bc65d68c8d306f5091309d7d3a3b65fc,4915e0f58a1ff43a3d76e0a4f9562f51b54578a2b35c71eddacd4c6bf4bc3c42
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,Final-TFS,32,5,200,117.68331586325075,104.40305079973768,8.497381235943509,1022.0,68.84375,1.0,d07e2c9ecfbff5085f32e857c8282e6875f2b345b4caed18e68d490c125d79ba,4dddd88672e6263f2a7dc66eeedac1ffef06e94332e764a0f3763844e97928e5
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,CLAP,32,5,200,12.589819700224325,0.1969543198356405,79.42925504979091,1022.0,68.84375,1.0,1914aca275c91df357a5285de957e1f92e20f615cc9dfddc5eae4612699ea63c,55fd600ee70e4aa41ac3216daf990ad2d4777f3fcc92d83c6d0bf9b9b36061a7
