dataset,n,oracle_top1_cover,oracle_top3_cover,consensus_correct,oracle_better_than_frozen,cm1_recovers_oracle_opportunity,cm3_recovers_oracle_opportunity,cm1_equals_oracle_rank,cm3_equals_oracle_rank,cm1_worse_than_frozen,cm3_worse_than_frozen,opportunity_oracle_top1_cover,opportunity_oracle_top3_cover,opportunity_consensus_correct,oracle_top1_coverage_pct,oracle_top3_coverage_pct,consensus_accuracy_pct,oracle_opportunity_pct,cm1_oracle_opportunity_recovery_pct,cm3_oracle_opportunity_recovery_pct,opportunity_oracle_top1_coverage_pct,opportunity_oracle_top3_coverage_pct,opportunity_consensus_accuracy_pct,cm1_oracle_rank_match_pct,cm3_oracle_rank_match_pct,cm1_harm_pct,cm3_harm_pct
esc50,2000,1927,1927,1877,117,71,69,1927,1925,32,32,65,65,62,96.35,96.35,93.85,5.85,60.68376068376068,58.97435897435897,55.55555555555556,55.55555555555556,52.99145299145299,96.35,96.25,1.6,1.6
urbansound8k,8732,7671,7704,7495,1143,429,414,7671,7672,417,382,298,316,281,87.84928996793404,88.22721026110857,85.83371507100321,13.089784699954192,37.53280839895013,36.22047244094488,26.071741032370955,27.64654418197725,24.58442694663167,87.84928996793404,87.86074209803023,4.775538250114521,4.3747136967475955
fsd50k,10231,7841,7978,6169,2537,1187,1118,7841,7761,1055,1062,809,909,634,76.63962467012023,77.97869220995015,60.297136154823576,24.797185025901673,46.787544343713044,44.067796610169495,31.8880567599527,35.829720141899884,24.990145841545132,76.63962467012023,75.8576874205845,10.31179747825237,10.380216987586746
dcase17_t4,419,316,322,266,119,64,52,316,310,37,41,41,46,30,75.41766109785203,76.84964200477327,63.48448687350835,28.400954653937948,53.78151260504202,43.69747899159664,34.45378151260504,38.65546218487395,25.210084033613445,75.41766109785203,73.9856801909308,8.83054892601432,9.785202863961814
audioset,17233,13050,13456,5149,4503,1962,1894,13050,12908,1736,1640,1157,1442,712,75.72680322636802,78.0827482156328,29.878721058434397,26.130099228224918,43.5709526982012,42.06084832334,25.69398178991783,32.023095713968466,15.811681101487897,75.72680322636802,74.9028027621424,10.073695816166657,9.516625079788778
tut2017,4680,2865,2979,2173,2062,1064,1060,2865,2830,876,862,713,803,548,61.217948717948715,63.65384615384615,46.43162393162393,44.05982905982906,51.6003879728419,51.40640155189137,34.57807953443259,38.942774005819594,26.576139670223085,61.217948717948715,60.47008547008547,18.71794871794872,18.418803418803417
