method,Hit@1,Hit@3,Hit@5,MRR
AAKV-FrozenRq,29.62339697,47.05506876,54.90628445,41.80789923
AAKV-Frequency5,29.91934080,47.31619567,54.95270702,42.02703181
AAKV-Random5-s42,30.00638310,47.07247722,54.92949573,41.98597672
AAKV-Random5-s43,29.85550978,47.06667440,54.88307317,41.96285125
AAKV-Random5-s44,29.59438287,47.11889979,54.92949573,41.81258360
AAKV-Selector5,31.30621482,46.93320954,54.85986189,42.56985944
