method,Hit@1,Hit@3,Hit@5,MRR
CLAP,40.02136752,75.10683761,91.43162393,60.14827326
Manual-Template,49.23076923,80.12820513,91.38888889,66.77078038
Qwen-Constrained,44.46581197,76.77350427,91.38888889,63.28146414
Qwen-Verified,47.94871795,78.69658120,91.43162393,65.78182027
