method,Hit@1,Hit@3,Hit@5,MRR,delta_Hit@1_vs_iKnow,delta_MRR_vs_iKnow
CLAP,57.34532304,79.65008308,86.34542078,70.16715548,-2.49242498,-1.63461977
I_Frozen-iKnow-05b,59.83774802,80.72524680,86.51158245,71.80177525,0.00000000,0.00000000
T_AAKV-only,61.59710683,80.62750464,86.46271137,72.64522943,1.75935881,0.84345418
F_Fusion-only,61.19636399,81.23350601,86.59955039,72.70419374,1.35861597,0.90241849
S_Selector-only,60.29713615,80.16811651,86.34542078,71.90010486,0.45938813,0.09832961
TF_AAKV+Fusion,63.01436810,81.53650670,86.53113088,73.70277981,3.17662008,1.90100456
TS_AAKV+Selector,64.37298407,80.40269768,86.41384029,74.04151492,4.53523605,2.23973967
FS_Fusion+Selector,59.81819959,79.50346985,85.66122569,71.23224083,-0.01954843,-0.56953442
TFS_AAKV+Fusion+Selector,64.07975760,80.16811651,86.18903333,73.81713601,4.24200958,2.01536076
