method,Hit@1,Hit@3,Hit@5,MRR
All-Direct,84.63124141,96.71323866,98.62574439,90.92090577
All-RawTriple,84.86028401,96.91937700,98.62574439,91.10872071
All-Template,85.74209803,96.63307375,98.62574439,91.42556297
Entropy-Router,85.47869904,96.69033440,98.62574439,91.34005373
Margin-Router,85.40998626,96.59871736,98.62574439,91.28794654
Oracle,87.78057719,97.52633990,98.62574439,92.81661504
