method,Hit@1,Hit@3,Hit@5,MRR
CLAP,83.50893266,96.59871736,98.64864865,90.25464629
iKnow-1st,84.82592762,96.71323866,98.64864865,91.03568157
Ours-1st,84.69995419,96.81630783,98.64864865,90.97403093
2nd-Full,84.91754466,96.89647274,98.64864865,91.06965622
