method,Hit@1,Hit@3,Hit@5,MRR
CLAP,28.46283294,46.28909650,54.69158011,40.93661011
iKnow-1st,27.66784657,45.87709627,54.16932629,40.32857855
Ours-1st,29.34486160,47.19433645,55.46915801,41.68524177
2nd-Full,29.36227006,47.19433645,55.30667905,41.69189219
