method,Hit@1,Hit@3,Hit@5,MRR
AAKV-FrozenRq,51.28205128,80.94017094,91.58119658,67.86463145
AAKV-Frequency5,50.08547009,80.06410256,91.55982906,67.00461415
AAKV-Random5-s42,51.64529915,81.06837607,91.58119658,68.20855527
AAKV-Random5-s43,51.85897436,80.91880342,91.55982906,68.25898941
AAKV-Random5-s44,51.77350427,81.08974359,91.58119658,68.24782233
AAKV-Selector5,56.36752137,80.40598291,91.53846154,70.41688013
