method,Hit@1,Hit@3,Hit@5,MRR
CLAP,83.76087952,96.59871736,98.64864865,90.40346036
E_AAKV+Fusion-FrozenRelations,86.16582684,96.93082913,98.64864865,91.73553396
H-old_DirectSelected-AAKVScored,86.08566193,96.72469079,98.66010078,91.65727774
H-aligned_AAKVSelected-AAKVScored,86.60100779,96.48419606,98.68300504,91.83211359
