method,Hit@1,Hit@3,Hit@5,MRR
CLAP,40.53418803,74.35897436,91.66666667,60.26910963
iKnow-1st,43.71794872,80.59829060,92.24358974,63.77579970
Ours-1st,45.53418803,80.12820513,92.28632479,64.82558094
2nd-Full,44.65811966,80.68376068,91.73076923,64.47790084
