method,Hit@1,Hit@3,Hit@5,MRR,delta_Hit@1_vs_iKnow,delta_MRR_vs_iKnow
CLAP,83.76087952,96.59871736,98.64864865,90.40346036,-1.12230875,-0.67453046
I_Frozen-iKnow-05b,84.88318827,96.77049931,98.64864865,91.07799082,0.00000000,0.00000000
T_AAKV-only,84.51672011,96.14063216,98.64864865,90.59070269,-0.36646816,-0.48728814
F_Fusion-only,85.12368301,96.91937700,98.64864865,91.22954068,0.24049473,0.15154985
S_Selector-only,85.83371507,96.24370133,98.64864865,91.34665234,0.95052680,0.26866152
TF_AAKV+Fusion,86.15437471,96.96518552,98.64864865,91.73839699,1.27118644,0.66040617
TS_AAKV+Selector,86.95602382,95.52221713,98.66010078,91.57119589,2.07283555,0.49320507
FS_Fusion+Selector,85.27256070,96.53000458,98.64864865,91.16302289,0.38937242,0.08503207
TFS_AAKV+Fusion+Selector,86.60100779,96.48419606,98.68300504,91.83211359,1.71781951,0.75412277
