method,Hit@1,Hit@3,Hit@5,MRR
CLAP,91.10000000,96.75000000,97.65000000,94.10549431
iKnow-1st,91.30000000,96.85000000,97.65000000,94.29716098
Ours-1st,93.20000000,97.10000000,97.65000000,95.32882764
2nd-M1-P1,93.30000000,97.05000000,97.65000000,95.36049431
2nd-M3-P1,93.35000000,97.05000000,97.65000000,95.38549431
2nd-M3-PAll,93.35000000,97.05000000,97.65000000,95.37716098
