method,Hit@1,Hit@3,Hit@5,MRR
All-Direct,45.36324786,79.87179487,92.11538462,64.66414082
All-RawTriple,45.81196581,78.61111111,91.68803419,64.43349878
All-Template,48.71794872,80.44871795,91.47435897,66.43487240
Entropy-Router,46.66666667,79.89316239,91.85897436,65.28331563
Margin-Router,46.88034188,79.97863248,91.83760684,65.35990802
Oracle,54.52991453,84.61538462,92.41452991,70.82309992
