dataset,n,comparison,baseline,method,delta_Hit@1_pp,Hit@1_CI95_low,Hit@1_CI95_high,wrong_to_correct,correct_to_wrong,net_rescued,McNemar_exact_p,delta_MRR_pp,MRR_CI95_low,MRR_CI95_high,McNemar_Holm_p_family,McNemar_significant_Holm_0.05,Hit@1_CI_excludes_zero,MRR_CI_excludes_zero
ESC-50,2000,Final-TFS - Frozen-iKnow,I_iKnow,TFS_Final,2.5,1.6,3.45,72,22,50,2.2605981543610277e-07,1.1824999999999999,0.6758333333333333,1.7008333333333334,2.2605981543610277e-07,True,True,True
UrbanSound8K,8732,Final-TFS - Frozen-iKnow,I_iKnow,TFS_Final,2.2904260192395784,1.7521759047182777,2.8172240036646814,382,182,200,2.470608033893281e-17,1.1396778134066272,0.8459259047182776,1.4347658039395328,7.411824101679844e-17,True,True,True
FSD50K,10231,Final-TFS - Frozen-iKnow,I_iKnow,TFS_Final,4.662300850356759,3.899912032059427,5.405141237415697,994,517,477,4.881854075164527e-35,2.339594004055694,1.8936854769776186,2.7765105914103207,1.9527416300658108e-34,True,True,True
AudioSet,17233,Final-TFS - Frozen-iKnow,I_iKnow,TFS_Final,2.0890152614170487,1.5957755469158013,2.599663436430105,1148,788,360,2.7822358075563715e-16,1.0317253056859998,0.7275196384872017,1.347256156200606,5.564471615112743e-16,True,True,True
TUT2017,6300,Final-TFS - Frozen-iKnow,I_iKnow,TFS_Final,12.730158730158731,11.492063492063492,13.952380952380953,1218,416,802,3.520739752581201e-91,6.682137130946655,5.9452560611786796,7.411242155111204,1.7603698762906004e-90,True,True,True
