method,old_Hit@1,new_Hit@1,delta_Hit@1_pp,old_Hit@3,new_Hit@3,delta_Hit@3_pp,old_Hit@5,new_Hit@5,delta_Hit@5_pp,old_MRR,new_MRR,delta_MRR_pp
CLAP,40.49145299,40.65079365,0.15934065999999802,75.02136752,76.58730159,1.5659340699999973,91.66666667,92.23809524,0.571428570000009,60.25079852,60.79024023,0.5394417100000055
I_iKnow,43.6965812,44.14285714,0.4462759399999996,79.55128205,79.88888889,0.3376068400000065,92.11538462,92.68253968,0.5671550600000046,63.71083617,64.04292352,0.3320873500000019
TFS_Final,56.36752137,56.87301587,0.5054945000000046,80.40598291,80.53968254,0.1336996299999953,91.53846154,91.79365079,0.2551892500000008,70.41688013,70.72506065,0.3081805200000076
